preprocessed_plate,ocr_text,worth_ocr
plate_0000.png,KLG1CA2555,1
plate_0001.png,PGoMN112,1
plate_0002.png,[NO TEXT],0
plate_0003.png,[NO TEXT],0
plate_0004.png,HR 26 BC 55I4,1
plate_0005.png,6861136,1
plate_0006.png,[NO TEXT],0
plate_0007.png,[NO TEXT],0
plate_0008.png,[NO TEXT],0
plate_0009.png,[NO TEXT],0
plate_0010.png,NL60LXB,1
plate_0011.png,SBA1234A,1
plate_0012.png,[NO TEXT],0
plate_0013.png,[NO TEXT],0
plate_0014.png,[NO TEXT],0
plate_0015.png,[NO TEXT],0
plate_0016.png,[NO TEXT],0
plate_0017.png,[NO TEXT],0
plate_0018.png,[NO TEXT],0
plate_0019.png,[NO TEXT],0
plate_0020.png,[NO TEXT],0
plate_0021.png,[NO TEXT],0
plate_0022.png,[NO TEXT],0
plate_0023.png,[NO TEXT],0
plate_0024.png,[NO TEXT],0
plate_0025.png,[NO TEXT],0
plate_0026.png,[NO TEXT],0
plate_0027.png,[NO TEXT],0
plate_0028.png,MH 20 BQ 20,1
plate_0029.png,MH01AY8866,1
plate_0030.png,CZ17 K0D,1
plate_0031.png,W0R 516K,1
plate_0032.png,F1,1
plate_0033.png,MH 20 EE 7598,1
plate_0034.png,SHAKNBK,1
plate_0035.png,MPEACHW,1
plate_0036.png,[NO TEXT],0
plate_0037.png,M666 YOB,1
plate_0038.png,MK-35-32,1
plate_0039.png,[NO TEXT],0
plate_0040.png,JA62 UAR,1
plate_0041.png,[NO TEXT],0
plate_0042.png,MH12BG7237,1
plate_0043.png,B 2228HM,1
plate_0044.png,[NO TEXT],0
plate_0045.png,MANISA,1
plate_0046.png,HR 26 BC 55I4,1
plate_0047.png,[NO TEXT],0
plate_0048.png,RP 66887,1
plate_0049.png,KA G5MG19G9,1
plate_0050.png,[NO TEXT],0
plate_0051.png,OX65 AWD,1
plate_0052.png,OPEC LOL,1
plate_0053.png,BJR216,1
plate_0054.png,HR 26 BR 9044,1
plate_0055.png,[NO TEXT],0
plate_0056.png,[NO TEXT],0
plate_0057.png,[NO TEXT],0
plate_0058.png,[NO TEXT],0
plate_0059.png,[NO TEXT],0
plate_0060.png,1268,1
plate_0061.png,LI9TLC,1
plate_0062.png,[NO TEXT],0
plate_0063.png,[NO TEXT],0
plate_0064.png,[NO TEXT],0
plate_0065.png,[NO TEXT],0
plate_0066.png,[NO TEXT],0
plate_0067.png,[NO TEXT],0
plate_0068.png,[NO TEXT],0
plate_0069.png,[NO TEXT],0
plate_0070.png,ALR 486,1
plate_0071.png,CHO1ANOOO1,1
plate_0072.png,[NO TEXT],0
plate_0073.png,[NO TEXT],0
plate_0074.png,[NO TEXT],0
plate_0075.png,[NO TEXT],0
plate_0076.png,Z1017,1
plate_0077.png,Z1017,1
plate_0078.png,PEH15,1
plate_0079.png,CH01ANOOO1,1
plate_0080.png,[NO TEXT],0
plate_0081.png,[NO TEXT],0
plate_0082.png,[NO TEXT],0
plate_0083.png,[NO TEXT],0
plate_0084.png,[NO TEXT],0
plate_0085.png,[NO TEXT],0
plate_0086.png,[NO TEXT],0
plate_0087.png,[NO TEXT],0
plate_0088.png,[NO TEXT],0
plate_0089.png,[NO TEXT],0
plate_0090.png,[NO TEXT],0
plate_0091.png,[NO TEXT],0
plate_0092.png,[NO TEXT],0
plate_0093.png,[NO TEXT],0
plate_0094.png,[NO TEXT],0
plate_0095.png,[NO TEXT],0
plate_0096.png,KLG1C12555,1
plate_0097.png,[NO TEXT],0
plate_0098.png,7VIG263,1
plate_0099.png,[NO TEXT],0
plate_0100.png,DL3CX 435D,1
